"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HR","AR","HY","AY","Season","HomeTeamAbbreviation","AwayTeamAbbreviation","HomeTeamValue","HomeTeamSquadSize","AwayTeamValue","AwayTeamSquadSize","HomeTeamForeignPlayers","HomeTeamMeanAge","AwayTeamForeignPlayers","AwayTeamMeanAge","HGD","AGD"
1993-08-24,"Man City","Blackburn",0,2,"A",NA,NA,NA,NA,"1993-1994","MCI","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-24,"Oldham","Coventry",3,3,"D",NA,NA,NA,NA,"1993-1994","OLD","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-24,"Sheffield United","Wimbledon",2,1,"H",NA,NA,NA,NA,"1993-1994","SHU","WIM",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-25,"Chelsea","QPR",2,0,"H",NA,NA,NA,NA,"1993-1994","CHE","QPR",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-25,"Liverpool","Tottenham",1,2,"A",NA,NA,NA,NA,"1993-1994","LIV","TOT",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-25,"Newcastle","Everton",1,0,"H",NA,NA,NA,NA,"1993-1994","NEW","EVE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-25,"Norwich","Ipswich",1,0,"H",NA,NA,NA,NA,"1993-1994","NOR","IPS",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-25,"Southampton","Swindon",5,1,"H",NA,NA,NA,NA,"1993-1994","SOU","SWI",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1993-08-25,"West Ham","Sheffield Weds",2,0,"H",NA,NA,NA,NA,"1993-1994","WHU","SHW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-27,"Man City","Coventry",1,1,"D",NA,NA,NA,NA,"1993-1994","MCI","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-28,"Arsenal","Everton",2,0,"H",NA,NA,NA,NA,"1993-1994","ARS","EVE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-28,"Aston Villa","Tottenham",1,0,"H",NA,NA,NA,NA,"1993-1994","AVA","TOT",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-28,"Chelsea","Sheffield Weds",1,1,"D",NA,NA,NA,NA,"1993-1994","CHE","SHW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-28,"Liverpool","Leeds",2,0,"H",NA,NA,NA,NA,"1993-1994","LIV","LEE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-28,"Norwich","Swindon",0,0,"D",NA,NA,NA,NA,"1993-1994","NOR","SWI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-28,"Oldham","Wimbledon",1,1,"D",NA,NA,NA,NA,"1993-1994","OLD","WIM",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-28,"Sheffield United","Ipswich",1,1,"D",NA,NA,NA,NA,"1993-1994","SHU","IPS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-28,"Southampton","Man United",1,3,"A",NA,NA,NA,NA,"1993-1994","SOU","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-28,"West Ham","QPR",0,4,"A",NA,NA,NA,NA,"1993-1994","WHU","QPR",NA,NA,NA,NA,NA,NA,NA,NA,-4,4
1993-08-29,"Newcastle","Blackburn",1,1,"D",NA,NA,NA,NA,"1993-1994","NEW","BLB",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-30,"Leeds","Oldham",1,0,"H",NA,NA,NA,NA,"1993-1994","LEE","OLD",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-31,"Everton","Aston Villa",0,1,"A",NA,NA,NA,NA,"1993-1994","EVE","AVA",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-31,"Ipswich","Newcastle",1,1,"D",NA,NA,NA,NA,"1993-1994","IPS","NEW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-31,"Wimbledon","Southampton",1,0,"H",NA,NA,NA,NA,"1993-1994","WIM","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-01,"Blackburn","Arsenal",1,1,"D",NA,NA,NA,NA,"1993-1994","BLB","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-01,"Coventry","Liverpool",1,0,"H",NA,NA,NA,NA,"1993-1994","COV","LIV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-01,"Man United","West Ham",3,0,"H",NA,NA,NA,NA,"1993-1994","MUN","WHU",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-09-01,"QPR","Sheffield United",2,1,"H",NA,NA,NA,NA,"1993-1994","QPR","SHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-01,"Sheffield Weds","Norwich",3,3,"D",NA,NA,NA,NA,"1993-1994","SHW","NOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-01,"Swindon","Man City",1,3,"A",NA,NA,NA,NA,"1993-1994","SWI","MCI",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-09-01,"Tottenham","Chelsea",1,1,"D",NA,NA,NA,NA,"1993-1994","TOT","CHE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-11,"Arsenal","Ipswich",4,0,"H",NA,NA,NA,NA,"1993-1994","ARS","IPS",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1993-09-11,"Aston Villa","Coventry",0,0,"D",NA,NA,NA,NA,"1993-1994","AVA","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-11,"Chelsea","Man United",1,0,"H",NA,NA,NA,NA,"1993-1994","CHE","MUN",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-11,"Man City","QPR",3,0,"H",NA,NA,NA,NA,"1993-1994","MCI","QPR",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-09-11,"Norwich","Wimbledon",0,1,"A",NA,NA,NA,NA,"1993-1994","NOR","WIM",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-09-11,"Oldham","Everton",0,1,"A",NA,NA,NA,NA,"1993-1994","OLD","EVE",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-09-11,"Sheffield United","Tottenham",2,2,"D",NA,NA,NA,NA,"1993-1994","SHU","TOT",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-11,"Southampton","Leeds",0,2,"A",NA,NA,NA,NA,"1993-1994","SOU","LEE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-09-11,"West Ham","Swindon",0,0,"D",NA,NA,NA,NA,"1993-1994","WHU","SWI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-12,"Liverpool","Blackburn",0,1,"A",NA,NA,NA,NA,"1993-1994","LIV","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-09-13,"Newcastle","Sheffield Weds",4,2,"H",NA,NA,NA,NA,"1993-1994","NEW","SHW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-09-18,"Blackburn","West Ham",0,2,"A",NA,NA,NA,NA,"1993-1994","BLB","WHU",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-09-18,"Coventry","Chelsea",1,1,"D",NA,NA,NA,NA,"1993-1994","COV","CHE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-18,"Everton","Liverpool",2,0,"H",NA,NA,NA,NA,"1993-1994","EVE","LIV",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-09-18,"Ipswich","Aston Villa",1,2,"A",NA,NA,NA,NA,"1993-1994","IPS","AVA",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-09-18,"Leeds","Sheffield United",2,1,"H",NA,NA,NA,NA,"1993-1994","LEE","SHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-18,"QPR","Norwich",2,2,"D",NA,NA,NA,NA,"1993-1994","QPR","NOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-18,"Sheffield Weds","Southampton",2,0,"H",NA,NA,NA,NA,"1993-1994","SHW","SOU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-09-18,"Swindon","Newcastle",2,2,"D",NA,NA,NA,NA,"1993-1994","SWI","NEW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-18,"Tottenham","Oldham",5,0,"H",NA,NA,NA,NA,"1993-1994","TOT","OLD",NA,NA,NA,NA,NA,NA,NA,NA,5,-5
1993-09-19,"Man United","Arsenal",1,0,"H",NA,NA,NA,NA,"1993-1994","MUN","ARS",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-20,"Wimbledon","Man City",1,0,"H",NA,NA,NA,NA,"1993-1994","WIM","MCI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-25,"Arsenal","Southampton",1,0,"H",NA,NA,NA,NA,"1993-1994","ARS","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-25,"Blackburn","Sheffield Weds",1,1,"D",NA,NA,NA,NA,"1993-1994","BLB","SHW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-25,"Chelsea","Liverpool",1,0,"H",NA,NA,NA,NA,"1993-1994","CHE","LIV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-09-25,"Coventry","Leeds",0,2,"A",NA,NA,NA,NA,"1993-1994","COV","LEE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-09-25,"Everton","Norwich",1,5,"A",NA,NA,NA,NA,"1993-1994","EVE","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-4,4
1993-09-25,"Man United","Swindon",4,2,"H",NA,NA,NA,NA,"1993-1994","MUN","SWI",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-09-25,"Newcastle","West Ham",2,0,"H",NA,NA,NA,NA,"1993-1994","NEW","WHU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-09-25,"Oldham","Aston Villa",1,1,"D",NA,NA,NA,NA,"1993-1994","OLD","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-25,"Sheffield United","Man City",0,1,"A",NA,NA,NA,NA,"1993-1994","SHU","MCI",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-09-26,"Ipswich","Tottenham",2,2,"D",NA,NA,NA,NA,"1993-1994","IPS","TOT",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-09-27,"Wimbledon","QPR",1,1,"D",NA,NA,NA,NA,"1993-1994","WIM","QPR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-02,"Aston Villa","Newcastle",0,2,"A",NA,NA,NA,NA,"1993-1994","AVA","NEW",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-10-02,"Leeds","Wimbledon",4,0,"H",NA,NA,NA,NA,"1993-1994","LEE","WIM",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1993-10-02,"Liverpool","Arsenal",0,0,"D",NA,NA,NA,NA,"1993-1994","LIV","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-02,"Norwich","Coventry",1,0,"H",NA,NA,NA,NA,"1993-1994","NOR","COV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-02,"QPR","Ipswich",3,0,"H",NA,NA,NA,NA,"1993-1994","QPR","IPS",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-10-02,"Sheffield Weds","Man United",2,3,"A",NA,NA,NA,NA,"1993-1994","SHW","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-02,"Southampton","Sheffield United",3,3,"D",NA,NA,NA,NA,"1993-1994","SOU","SHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-02,"Swindon","Blackburn",1,3,"A",NA,NA,NA,NA,"1993-1994","SWI","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-10-02,"West Ham","Chelsea",1,0,"H",NA,NA,NA,NA,"1993-1994","WHU","CHE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-03,"Tottenham","Everton",3,2,"H",NA,NA,NA,NA,"1993-1994","TOT","EVE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-04,"Man City","Oldham",1,1,"D",NA,NA,NA,NA,"1993-1994","MCI","OLD",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-16,"Arsenal","Man City",0,0,"D",NA,NA,NA,NA,"1993-1994","ARS","MCI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-16,"Chelsea","Norwich",1,2,"A",NA,NA,NA,NA,"1993-1994","CHE","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-16,"Coventry","Southampton",1,1,"D",NA,NA,NA,NA,"1993-1994","COV","SOU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-16,"Liverpool","Oldham",2,1,"H",NA,NA,NA,NA,"1993-1994","LIV","OLD",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-16,"Man United","Tottenham",2,1,"H",NA,NA,NA,NA,"1993-1994","MUN","TOT",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-16,"Newcastle","QPR",1,2,"A",NA,NA,NA,NA,"1993-1994","NEW","QPR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-16,"Sheffield Weds","Wimbledon",2,2,"D",NA,NA,NA,NA,"1993-1994","SHW","WIM",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-16,"Swindon","Everton",1,1,"D",NA,NA,NA,NA,"1993-1994","SWI","EVE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-16,"West Ham","Aston Villa",0,0,"D",NA,NA,NA,NA,"1993-1994","WHU","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-17,"Ipswich","Leeds",0,0,"D",NA,NA,NA,NA,"1993-1994","IPS","LEE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-18,"Blackburn","Sheffield United",0,0,"D",NA,NA,NA,NA,"1993-1994","BLB","SHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"Aston Villa","Chelsea",1,0,"H",NA,NA,NA,NA,"1993-1994","AVA","CHE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-23,"Everton","Man United",0,1,"A",NA,NA,NA,NA,"1993-1994","EVE","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-23,"Leeds","Blackburn",3,3,"D",NA,NA,NA,NA,"1993-1994","LEE","BLB",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"Man City","Liverpool",1,1,"D",NA,NA,NA,NA,"1993-1994","MCI","LIV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"Norwich","West Ham",0,0,"D",NA,NA,NA,NA,"1993-1994","NOR","WHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"Oldham","Arsenal",0,0,"D",NA,NA,NA,NA,"1993-1994","OLD","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"QPR","Coventry",5,1,"H",NA,NA,NA,NA,"1993-1994","QPR","COV",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1993-10-23,"Sheffield United","Sheffield Weds",1,1,"D",NA,NA,NA,NA,"1993-1994","SHU","SHW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-23,"Tottenham","Swindon",1,1,"D",NA,NA,NA,NA,"1993-1994","TOT","SWI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-24,"Southampton","Newcastle",2,1,"H",NA,NA,NA,NA,"1993-1994","SOU","NEW",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-25,"Wimbledon","Ipswich",0,2,"A",NA,NA,NA,NA,"1993-1994","WIM","IPS",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-10-30,"Arsenal","Norwich",0,0,"D",NA,NA,NA,NA,"1993-1994","ARS","NOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-30,"Blackburn","Tottenham",1,0,"H",NA,NA,NA,NA,"1993-1994","BLB","TOT",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-30,"Chelsea","Oldham",0,1,"A",NA,NA,NA,NA,"1993-1994","CHE","OLD",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-30,"Ipswich","Everton",0,2,"A",NA,NA,NA,NA,"1993-1994","IPS","EVE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-10-30,"Liverpool","Southampton",4,2,"H",NA,NA,NA,NA,"1993-1994","LIV","SOU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-10-30,"Man United","QPR",2,1,"H",NA,NA,NA,NA,"1993-1994","MUN","QPR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-10-30,"Newcastle","Wimbledon",4,0,"H",NA,NA,NA,NA,"1993-1994","NEW","WIM",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1993-10-30,"Sheffield Weds","Leeds",3,3,"D",NA,NA,NA,NA,"1993-1994","SHW","LEE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-10-30,"Swindon","Aston Villa",1,2,"A",NA,NA,NA,NA,"1993-1994","SWI","AVA",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-10-31,"Coventry","Sheffield United",0,0,"D",NA,NA,NA,NA,"1993-1994","COV","SHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-11-01,"West Ham","Man City",3,1,"H",NA,NA,NA,NA,"1993-1994","WHU","MCI",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-11-06,"Arsenal","Aston Villa",1,2,"A",NA,NA,NA,NA,"1993-1994","ARS","AVA",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-11-06,"Coventry","Everton",2,1,"H",NA,NA,NA,NA,"1993-1994","COV","EVE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-11-06,"Ipswich","Sheffield Weds",1,4,"A",NA,NA,NA,NA,"1993-1994","IPS","SHW",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1993-11-06,"Leeds","Chelsea",4,1,"H",NA,NA,NA,NA,"1993-1994","LEE","CHE",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-11-06,"Liverpool","West Ham",2,0,"H",NA,NA,NA,NA,"1993-1994","LIV","WHU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-11-06,"QPR","Blackburn",1,0,"H",NA,NA,NA,NA,"1993-1994","QPR","BLB",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-11-06,"Sheffield United","Norwich",1,2,"A",NA,NA,NA,NA,"1993-1994","SHU","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-11-06,"Southampton","Tottenham",1,0,"H",NA,NA,NA,NA,"1993-1994","SOU","TOT",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-11-06,"Wimbledon","Swindon",3,0,"H",NA,NA,NA,NA,"1993-1994","WIM","SWI",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-11-07,"Man City","Man United",2,3,"A",NA,NA,NA,NA,"1993-1994","MCI","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-11-08,"Oldham","Newcastle",1,3,"A",NA,NA,NA,NA,"1993-1994","OLD","NEW",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-11-20,"Aston Villa","Sheffield United",1,0,"H",NA,NA,NA,NA,"1993-1994","AVA","SHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-11-20,"Blackburn","Southampton",2,0,"H",NA,NA,NA,NA,"1993-1994","BLB","SOU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-11-20,"Chelsea","Arsenal",0,2,"A",NA,NA,NA,NA,"1993-1994","CHE","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-11-20,"Everton","QPR",0,3,"A",NA,NA,NA,NA,"1993-1994","EVE","QPR",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1993-11-20,"Man United","Wimbledon",3,1,"H",NA,NA,NA,NA,"1993-1994","MUN","WIM",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-11-20,"Norwich","Man City",1,1,"D",NA,NA,NA,NA,"1993-1994","NOR","MCI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-11-20,"Sheffield Weds","Coventry",0,0,"D",NA,NA,NA,NA,"1993-1994","SHW","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-11-20,"Swindon","Ipswich",2,2,"D",NA,NA,NA,NA,"1993-1994","SWI","IPS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-11-20,"Tottenham","Leeds",1,1,"D",NA,NA,NA,NA,"1993-1994","TOT","LEE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-11-20,"West Ham","Oldham",2,0,"H",NA,NA,NA,NA,"1993-1994","WHU","OLD",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-11-21,"Newcastle","Liverpool",3,0,"H",NA,NA,NA,NA,"1993-1994","NEW","LIV",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-11-22,"Chelsea","Man City",0,0,"D",NA,NA,NA,NA,"1993-1994","CHE","MCI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
